City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,jamestown,42.097,-79.2353,7.79,97,100,4.12,US,1697333550
84,lazaro cardenas,17.9583,-102.2,27.09,87,95,2.65,MX,1697333550
85,portland,45.5234,-122.6762,16.94,87,100,0.89,US,1697333145
86,rudnya,54.947,31.0934,10.0,77,100,3.88,RU,1697333550
87,vysokaya gora,55.9128,49.3017,9.1,78,100,6.4,RU,1697333550
88,punta arenas,-53.15,-70.9167,6.06,75,0,7.2,CL,1697333519
89,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,88,75,2.24,RU,1697332955
90,gadzhiyevo,69.2551,33.3362,2.18,97,100,15.47,RU,1697333550
91,isafjordur,66.0755,-23.124,2.76,98,100,3.99,IS,1697333551
92,torghay,49.6339,63.4981,7.16,76,67,3.41,KZ,1697333551
93,utrik,11.2278,169.8474,28.24,76,13,5.12,MH,1697332952
94,sarangani,5.4033,125.4636,28.74,74,40,3.18,PH,1697333551
95,suva,-18.1416,178.4415,26.71,78,75,5.66,FJ,1697333551
96,beledweyne,4.7358,45.2036,26.49,75,14,5.41,SO,1697333551
97,hadibu,12.65,54.0333,26.53,77,2,1.25,YE,1697333551
98,kone,-21.0595,164.8658,28.34,61,57,1.03,NC,1697333551
99,klyuchi,52.2667,79.1667,6.8,59,100,4.85,RU,1697332970
100,aguas belas,-9.1114,-37.1231,22.09,73,57,4.26,BR,1697333552
101,fortaleza,-3.7227,-38.5247,27.34,78,75,6.17,BR,1697332770
102,port saint john's,-31.6229,29.5448,16.78,71,100,3.41,ZA,1697333552
103,howrah,22.5892,88.3103,27.0,83,20,0.0,IN,1697333552
104,puerto natales,-51.7236,-72.4875,5.24,80,90,3.83,CL,1697333552
105,kerikeri,-35.2268,173.9474,22.73,67,44,0.89,NZ,1697332976
106,warmbad,-28.45,18.7333,14.32,60,9,3.69,NA,1697333552
107,alofi,-19.0595,-169.9187,27.94,65,36,6.69,NU,1697333526
108,necochea,-38.5473,-58.7368,13.69,55,100,6.68,AR,1697333552
109,vilyuysk,63.7553,121.6247,-5.56,80,21,2.24,RU,1697333553
110,vadso,70.0744,29.7487,3.09,87,100,11.32,NO,1697332957
111,wailua homesteads,22.0669,-159.378,28.24,64,0,7.2,US,1697333553
112,bredasdorp,-34.5322,20.0403,14.55,75,87,6.09,ZA,1697333553
113,sechura,-5.5569,-80.8222,21.34,73,13,6.21,PE,1697332985
114,ta`u,-14.2336,-169.5144,27.0,78,100,7.62,AS,1697332771
115,khandyga,62.6667,135.6,-8.94,90,94,1.11,RU,1697333553
116,whitehorse,60.7161,-135.0538,10.43,63,75,6.71,CA,1697333487
117,zarghun shahr,32.8473,68.4457,7.8,37,0,1.34,AF,1697333554
118,mbandaka,0.0487,18.2603,22.03,97,100,1.42,CD,1697333554
119,abepura,-2.6333,140.5833,31.45,62,20,2.06,ID,1697333554
120,panaba,21.2833,-88.2667,28.59,74,73,4.03,MX,1697333554
121,visakhapatnam,17.69,83.2093,23.94,94,20,1.03,IN,1697333554
122,phan rang-thap cham,11.5667,108.9833,28.75,75,100,0.56,VN,1697333554
123,levuka,50.1834,-105.4011,5.84,51,9,3.61,CA,1697332969
124,narni scalo,42.5358,12.5196,20.25,82,11,1.88,IT,1697333555
125,yellowknife,62.456,-114.3525,9.67,89,20,4.63,CA,1697333506
126,slagelse,55.4028,11.3546,8.58,94,52,12.31,DK,1697333555
127,belmonte,-15.8631,-38.8828,23.71,88,8,2.92,BR,1697333555
128,vernon,50.2581,-119.2691,13.5,76,100,1.03,CA,1697333555
129,cam pha mines,21.0167,107.3,23.31,68,95,1.63,VN,1697333555
130,clarence town,-32.5833,151.7833,26.75,19,0,2.59,AU,1697333555
131,anadyr,64.75,177.4833,1.28,86,75,4.0,RU,1697333556
132,lensk,60.7253,114.9278,-1.27,95,77,2.24,RU,1697333556
133,vanino,49.0869,140.2543,14.4,55,6,4.36,RU,1697333556
134,inarajan village,13.2736,144.7484,30.55,85,100,5.18,GU,1697333556
135,manavalakurichi,8.1333,77.3,24.23,94,100,5.04,IN,1697333556
136,moranbah,-22.0016,148.0466,31.27,20,3,3.27,AU,1697333556
137,babura,12.7731,9.0158,28.33,24,67,3.73,NG,1697333556
138,mega,4.05,38.3,17.57,72,100,5.03,ET,1697333556
139,longyearbyen,78.2186,15.6401,0.91,75,75,8.23,SJ,1697333557
140,sola,-13.8833,167.55,26.24,83,100,7.14,VU,1697333557
141,pedernales,18.0384,-71.744,27.96,80,62,1.79,DO,1697333557
142,kzyltu,53.6364,72.3414,5.85,79,61,6.07,KZ,1697333557
143,ifrane,33.3333,-5.25,10.04,69,0,2.32,MA,1697333557
144,lompoc,34.6391,-120.4579,22.08,81,0,5.36,US,1697332954
145,rawson,-43.3002,-65.1023,13.1,62,30,1.53,AR,1697333557
146,talnakh,69.4865,88.3972,1.23,87,97,2.38,RU,1697333536
147,hermanus,-34.4187,19.2345,15.21,76,100,7.53,ZA,1697333557
148,qaqortoq,60.7167,-46.0333,3.41,66,6,1.45,GL,1697333538
149,coxen hole,16.3244,-86.5366,30.6,84,20,5.14,HN,1697333558
150,olonkinbyen,70.9221,-8.7187,-2.23,87,100,9.38,SJ,1697332961
151,guayaramerin,-10.8368,-65.3614,26.99,65,67,0.48,BO,1697333558
152,bodo,67.28,14.405,5.02,64,100,6.69,NO,1697333558
153,juneau,58.3019,-134.4197,12.0,91,75,4.12,US,1697333276
154,kudahuvadhoo,2.6708,72.8944,27.26,73,29,2.91,MV,1697333558
155,tidjikja,18.5564,-11.4271,28.59,16,1,5.27,MR,1697333558
156,zahedan,29.4963,60.8629,17.95,34,7,2.06,IR,1697333558
157,al khums,32.6486,14.2619,22.16,68,0,1.87,LY,1697333559
158,reggane,26.7158,0.1714,24.84,22,19,1.44,DZ,1697333542
159,praia da vitoria,38.7333,-27.0667,21.53,94,20,3.37,PT,1697332984
160,mandaguacu,-23.3472,-52.0953,20.78,73,0,7.2,BR,1697333559
161,ahmadpur,18.7,76.9333,24.76,63,12,1.0,IN,1697333559
162,val-d'or,48.1002,-77.7828,7.05,100,100,6.69,CA,1697333553
163,san patricio,28.017,-97.5169,25.92,35,86,2.55,US,1697332973
164,port mathurin,-19.6833,63.4167,22.76,68,0,5.05,MU,1697333508
165,queenstown,-31.8976,26.8753,6.66,95,95,1.3,ZA,1697333559
166,fortuna,40.5982,-124.1573,16.51,95,0,3.09,US,1697333000
167,broome,42.2506,-75.833,8.72,97,100,0.89,US,1697333559
168,margaret river,-33.95,115.0667,21.73,45,0,2.0,AU,1697333560
169,touros,-5.1989,-35.4608,25.77,74,40,6.58,BR,1697332980
170,weno,7.4515,151.8468,24.97,94,100,4.63,FM,1697333560
171,manta,-0.95,-80.7333,24.88,78,100,2.57,EC,1697333560
172,hasaki,35.7333,140.8333,16.27,96,100,7.62,JP,1697333560
173,sao raimundo das mangabeiras,-7.0219,-45.4811,27.66,51,11,1.35,BR,1697333560
174,atafu village,-8.5421,-172.5159,28.58,76,61,9.05,TK,1697332965
175,saipan,15.1355,145.701,28.39,83,40,3.09,MP,1697332976
176,ilulissat,69.2167,-51.1,-5.99,79,100,2.06,GL,1697333560
177,darab,28.7519,54.5444,22.0,37,0,2.38,IR,1697333561
178,la passe,45.5549,-0.8967,11.1,65,72,3.08,FR,1697333561
179,ocean city,39.2776,-74.5746,14.43,92,100,4.92,US,1697333402
180,bonthe,7.5264,-12.505,25.4,87,100,1.4,SL,1697333561
181,zemio,5.0314,25.1361,20.53,98,100,1.42,CF,1697333561
182,ghat,24.9647,10.1728,23.26,26,1,1.22,LY,1697332998
183,san fernando,15.0286,120.6898,30.85,67,14,2.27,PH,1697333555
184,eastham,41.8301,-69.9739,13.33,71,100,0.45,US,1697333561
185,morena,26.4969,78.0,26.22,46,0,2.82,IN,1697333561
186,uturoa,-16.7333,-151.4333,26.2,69,7,4.36,PF,1697332737
187,port alfred,-33.5906,26.891,16.2,79,100,1.32,ZA,1697333562
188,bangkalan,-7.0455,112.7351,29.97,50,32,1.44,ID,1697333562
189,happy valley-goose bay,53.3168,-60.3315,9.17,87,100,8.75,CA,1697333293
190,senhor do bonfim,-10.4614,-40.1894,22.64,71,38,4.36,BR,1697333562
191,sidney,-33.8679,151.2073,27.01,39,0,6.17,AU,1697333478
